Mes,Día,Día de semana,Evento,Código Color,Arcano,Microacción,Notas
Abril 2025,1,Martes,,,,,
Abril 2025,2,Miércoles,,,,,
Abril 2025,3,Jueves,,,,,
Abril 2025,4,Viernes,,,,,
Abril 2025,5,Sábado,,,,,
Abril 2025,6,Domingo,,,,,
Abril 2025,7,Lunes,,,,,
Abril 2025,8,Martes,,,,,
Abril 2025,9,Miércoles,Cumpleaños Medio Ciclo (6 meses antes),Dorado,La Rueda de la Fortuna,Ejercicio de gratitud por 9 giros clave del último año.,Mitad de tu Año Personal 1: evaluar avances y ajustar.
Abril 2025,10,Jueves,,,,,
Abril 2025,11,Viernes,,,,,
Abril 2025,12,Sábado,,,,,
Abril 2025,13,Domingo,,,,,
Abril 2025,14,Lunes,,,,,
Abril 2025,15,Martes,,,,,
Abril 2025,16,Miércoles,,,,,
Abril 2025,17,Jueves,,,,,
Abril 2025,18,Viernes,,,,,
Abril 2025,19,Sábado,,,,,
Abril 2025,20,Domingo,,,,,
Abril 2025,21,Lunes,,,,,
Abril 2025,22,Martes,,,,,
Abril 2025,23,Miércoles,,,,,
Abril 2025,24,Jueves,,,,,
Abril 2025,25,Viernes,,,,,
Abril 2025,26,Sábado,,,,,
Abril 2025,27,Domingo,,,,,
Abril 2025,28,Lunes,,,,,
Abril 2025,29,Martes,,,,,
Abril 2025,30,Miércoles,,,,,
Mayo 2025,1,Jueves,,,,,
Mayo 2025,2,Viernes,,,,,
Mayo 2025,3,Sábado,,,,,
Mayo 2025,4,Domingo,,,,,
Mayo 2025,5,Lunes,,,,,
Mayo 2025,6,Martes,,,,,
Mayo 2025,7,Miércoles,,,,,
Mayo 2025,8,Jueves,,,,,
Mayo 2025,9,Viernes,,,,,
Mayo 2025,10,Sábado,,,,,
Mayo 2025,11,Domingo,,,,,
Mayo 2025,12,Lunes,,,,,
Mayo 2025,13,Martes,,,,,
Mayo 2025,14,Miércoles,,,,,
Mayo 2025,15,Jueves,,,,,
Mayo 2025,16,Viernes,,,,,
Mayo 2025,17,Sábado,,,,,
Mayo 2025,18,Domingo,,,,,
Mayo 2025,19,Lunes,,,,,
Mayo 2025,20,Martes,,,,,
Mayo 2025,21,Miércoles,,,,,
Mayo 2025,22,Jueves,,,,,
Mayo 2025,23,Viernes,,,,,
Mayo 2025,24,Sábado,,,,,
Mayo 2025,25,Domingo,,,,,
Mayo 2025,26,Lunes,,,,,
Mayo 2025,27,Martes,,,,,
Mayo 2025,28,Miércoles,,,,,
Mayo 2025,29,Jueves,,,,,
Mayo 2025,30,Viernes,,,,,
Mayo 2025,31,Sábado,,,,,
Junio 2025,1,Domingo,,,,,
Junio 2025,2,Lunes,,,,,
Junio 2025,3,Martes,,,,,
Junio 2025,4,Miércoles,,,,,
Junio 2025,5,Jueves,,,,,
Junio 2025,6,Viernes,,,,,
Junio 2025,7,Sábado,,,,,
Junio 2025,8,Domingo,,,,,
Junio 2025,9,Lunes,,,,,
Junio 2025,10,Martes,,,,,
Junio 2025,11,Miércoles,,,,,
Junio 2025,12,Jueves,,,,,
Junio 2025,13,Viernes,,,,,
Junio 2025,14,Sábado,,,,,
Junio 2025,15,Domingo,,,,,
Junio 2025,16,Lunes,,,,,
Junio 2025,17,Martes,,,,,
Junio 2025,18,Miércoles,,,,,
Junio 2025,19,Jueves,,,,,
Junio 2025,20,Viernes,,,,,
Junio 2025,21,Sábado,,,,,
Junio 2025,22,Domingo,,,,,
Junio 2025,23,Lunes,,,,,
Junio 2025,24,Martes,,,,,
Junio 2025,25,Miércoles,,,,,
Junio 2025,26,Jueves,,,,,
Junio 2025,27,Viernes,,,,,
Junio 2025,28,Sábado,,,,,
Junio 2025,29,Domingo,,,,,
Junio 2025,30,Lunes,,,,,
Julio 2025,1,Martes,,,,,
Julio 2025,2,Miércoles,,,,,
Julio 2025,3,Jueves,,,,,
Julio 2025,4,Viernes,,,,,
Julio 2025,5,Sábado,,,,,
Julio 2025,6,Domingo,,,,,
Julio 2025,7,Lunes,,,,,
Julio 2025,8,Martes,,,,,
Julio 2025,9,Miércoles,,,,,
Julio 2025,10,Jueves,,,,,
Julio 2025,11,Viernes,,,,,
Julio 2025,12,Sábado,,,,,
Julio 2025,13,Domingo,,,,,
Julio 2025,14,Lunes,,,,,
Julio 2025,15,Martes,,,,,
Julio 2025,16,Miércoles,,,,,
Julio 2025,17,Jueves,,,,,
Julio 2025,18,Viernes,,,,,
Julio 2025,19,Sábado,,,,,
Julio 2025,20,Domingo,,,,,
Julio 2025,21,Lunes,,,,,
Julio 2025,22,Martes,,,,,
Julio 2025,23,Miércoles,,,,,
Julio 2025,24,Jueves,,,,,
Julio 2025,25,Viernes,,,,,
Julio 2025,26,Sábado,,,,,
Julio 2025,27,Domingo,,,,,
Julio 2025,28,Lunes,,,,,
Julio 2025,29,Martes,,,,,
Julio 2025,30,Miércoles,,,,,
Julio 2025,31,Jueves,,,,,
Agosto 2025,1,Viernes,,,,,
Agosto 2025,2,Sábado,,,,,
Agosto 2025,3,Domingo,,,,,
Agosto 2025,4,Lunes,,,,,
Agosto 2025,5,Martes,,,,,
Agosto 2025,6,Miércoles,,,,,
Agosto 2025,7,Jueves,,,,,
Agosto 2025,8,Viernes,Portal 8-8,Verde,El Sol,Escribe 8 intenciones y léelas al amanecer.,Portal de manifestación: enfoca en 1–2 metas maestras.
Agosto 2025,9,Sábado,,,,,
Agosto 2025,10,Domingo,,,,,
Agosto 2025,11,Lunes,,,,,
Agosto 2025,12,Martes,,,,,
Agosto 2025,13,Miércoles,,,,,
Agosto 2025,14,Jueves,,,,,
Agosto 2025,15,Viernes,,,,,
Agosto 2025,16,Sábado,,,,,
Agosto 2025,17,Domingo,,,,,
Agosto 2025,18,Lunes,,,,,
Agosto 2025,19,Martes,,,,,
Agosto 2025,20,Miércoles,,,,,
Agosto 2025,21,Jueves,,,,,
Agosto 2025,22,Viernes,,,,,
Agosto 2025,23,Sábado,,,,,
Agosto 2025,24,Domingo,,,,,
Agosto 2025,25,Lunes,,,,,
Agosto 2025,26,Martes,,,,,
Agosto 2025,27,Miércoles,,,,,
Agosto 2025,28,Jueves,,,,,
Agosto 2025,29,Viernes,,,,,
Agosto 2025,30,Sábado,,,,,
Agosto 2025,31,Domingo,,,,,
Septiembre 2025,1,Lunes,,,,,
Septiembre 2025,2,Martes,,,,,
Septiembre 2025,3,Miércoles,,,,,
Septiembre 2025,4,Jueves,,,,,
Septiembre 2025,5,Viernes,,,,,
Septiembre 2025,6,Sábado,,,,,
Septiembre 2025,7,Domingo,,,,,
Septiembre 2025,8,Lunes,,,,,
Septiembre 2025,9,Martes,,,,,
Septiembre 2025,10,Miércoles,,,,,
Septiembre 2025,11,Jueves,,,,,
Septiembre 2025,12,Viernes,,,,,
Septiembre 2025,13,Sábado,,,,,
Septiembre 2025,14,Domingo,,,,,
Septiembre 2025,15,Lunes,,,,,
Septiembre 2025,16,Martes,,,,,
Septiembre 2025,17,Miércoles,,,,,
Septiembre 2025,18,Jueves,,,,,
Septiembre 2025,19,Viernes,,,,,
Septiembre 2025,20,Sábado,,,,,
Septiembre 2025,21,Domingo,,,,,
Septiembre 2025,22,Lunes,Equinoccio de Primavera,Verde,La Justicia,Balancea tu agenda: mismo tiempo para trabajo/descanso.,Reequilibrio y orden: reacomoda prioridades.
Septiembre 2025,23,Martes,,,,,
Septiembre 2025,24,Miércoles,,,,,
Septiembre 2025,25,Jueves,,,,,
Septiembre 2025,26,Viernes,,,,,
Septiembre 2025,27,Sábado,,,,,
Septiembre 2025,28,Domingo,,,,,
Septiembre 2025,29,Lunes,Eclipse Solar Parcial,Rojo,La Muerte,Limpieza: descarta 9 objetos o compromisos que drenan.,Cierre consciente para abrir espacio a lo nuevo.
Septiembre 2025,30,Martes,,,,,
Octubre 2025,1,Miércoles,,,,,
Octubre 2025,2,Jueves,,,,,
Octubre 2025,3,Viernes,,,,,
Octubre 2025,4,Sábado,,,,,
Octubre 2025,5,Domingo,,,,,
Octubre 2025,6,Lunes,,,,,
Octubre 2025,7,Martes,,,,,
Octubre 2025,8,Miércoles,Eclipse Lunar Total,Rojo,La Luna,Registra sueños 3 noches y subraya símbolos repetidos.,Revelación de lo oculto; escucha tu intuición.
Octubre 2025,9,Jueves,Retorno Solar | Inicio Año Personal,Dorado | Dorado,El Mago | El Mundo,Declara tu intención anual en 1 párrafo y firma. | Visualiza cómo quieres sentirte al final del año.,Reinicio de ciclo; prepara foco del Año Personal 1. | Arranque formal de tu Año Personal 1 (cumpleaños a cumpleaños).
Octubre 2025,10,Viernes,,,,,
Octubre 2025,11,Sábado,,,,,
Octubre 2025,12,Domingo,,,,,
Octubre 2025,13,Lunes,,,,,
Octubre 2025,14,Martes,,,,,
Octubre 2025,15,Miércoles,,,,,
Octubre 2025,16,Jueves,,,,,
Octubre 2025,17,Viernes,,,,,
Octubre 2025,18,Sábado,,,,,
Octubre 2025,19,Domingo,,,,,
Octubre 2025,20,Lunes,,,,,
Octubre 2025,21,Martes,,,,,
Octubre 2025,22,Miércoles,,,,,
Octubre 2025,23,Jueves,,,,,
Octubre 2025,24,Viernes,,,,,
Octubre 2025,25,Sábado,,,,,
Octubre 2025,26,Domingo,,,,,
Octubre 2025,27,Lunes,,,,,
Octubre 2025,28,Martes,,,,,
Octubre 2025,29,Miércoles,,,,,
Octubre 2025,30,Jueves,,,,,
Octubre 2025,31,Viernes,,,,,
Noviembre 2025,1,Sábado,,,,,
Noviembre 2025,2,Domingo,,,,,
Noviembre 2025,3,Lunes,,,,,
Noviembre 2025,4,Martes,,,,,
Noviembre 2025,5,Miércoles,,,,,
Noviembre 2025,6,Jueves,,,,,
Noviembre 2025,7,Viernes,,,,,
Noviembre 2025,8,Sábado,,,,,
Noviembre 2025,9,Domingo,,,,,
Noviembre 2025,10,Lunes,,,,,
Noviembre 2025,11,Martes,Portal 11-11,Dorado,La Justicia,"A las 11:11, respira 11 veces y afirma tu verdad.",Sincronía 11:11: decisiones alineadas y claridad mental.
Noviembre 2025,12,Miércoles,,,,,
Noviembre 2025,13,Jueves,,,,,
Noviembre 2025,14,Viernes,,,,,
Noviembre 2025,15,Sábado,,,,,
Noviembre 2025,16,Domingo,,,,,
Noviembre 2025,17,Lunes,,,,,
Noviembre 2025,18,Martes,,,,,
Noviembre 2025,19,Miércoles,,,,,
Noviembre 2025,20,Jueves,,,,,
Noviembre 2025,21,Viernes,,,,,
Noviembre 2025,22,Sábado,,,,,
Noviembre 2025,23,Domingo,,,,,
Noviembre 2025,24,Lunes,,,,,
Noviembre 2025,25,Martes,,,,,
Noviembre 2025,26,Miércoles,,,,,
Noviembre 2025,27,Jueves,,,,,
Noviembre 2025,28,Viernes,,,,,
Noviembre 2025,29,Sábado,,,,,
Noviembre 2025,30,Domingo,,,,,
Diciembre 2025,1,Lunes,,,,,
Diciembre 2025,2,Martes,,,,,
Diciembre 2025,3,Miércoles,,,,,
Diciembre 2025,4,Jueves,,,,,
Diciembre 2025,5,Viernes,,,,,
Diciembre 2025,6,Sábado,,,,,
Diciembre 2025,7,Domingo,,,,,
Diciembre 2025,8,Lunes,,,,,
Diciembre 2025,9,Martes,,,,,
Diciembre 2025,10,Miércoles,,,,,
Diciembre 2025,11,Jueves,,,,,
Diciembre 2025,12,Viernes,,,,,
Diciembre 2025,13,Sábado,,,,,
Diciembre 2025,14,Domingo,,,,,
Diciembre 2025,15,Lunes,,,,,
Diciembre 2025,16,Martes,,,,,
Diciembre 2025,17,Miércoles,,,,,
Diciembre 2025,18,Jueves,,,,,
Diciembre 2025,19,Viernes,,,,,
Diciembre 2025,20,Sábado,,,,,
Diciembre 2025,21,Domingo,Solsticio de Verano,Verde,La Estrella,Comparte 3 logros y 1 deseo para el próximo ciclo.,Expansión y celebración; renueva esperanza y dirección.
Diciembre 2025,22,Lunes,,,,,
Diciembre 2025,23,Martes,,,,,
Diciembre 2025,24,Miércoles,,,,,
Diciembre 2025,25,Jueves,,,,,
Diciembre 2025,26,Viernes,,,,,
Diciembre 2025,27,Sábado,,,,,
Diciembre 2025,28,Domingo,,,,,
Diciembre 2025,29,Lunes,,,,,
Diciembre 2025,30,Martes,,,,,
Diciembre 2025,31,Miércoles,,,,,
